skill,experience,project_type,complexity,hours,price
web_dev,expert,landing_page,high,33,4099.89
cloud_computing,beginner,saas_mvp,medium,67,3300.58
graphic_design,intermediate,full_website,high,50,4017.43
web_dev,intermediate,saas_mvp,medium,197,8650.03
blockchain,beginner,smart_contract,low,15,372.17
ui_ux_design,beginner,ecommerce,high,194,8852.49
python,beginner,ai_model,medium,99,3179.01
graphic_design,beginner,ecommerce,low,199,4286.1
python,beginner,automation,high,38,1120.48
cyber_security,beginner,technical_whitepaper,low,63,2219.4
content_writing,intermediate,full_website,medium,38,1907.0
app_dev,beginner,ecommerce,medium,167,4321.41
data_science,beginner,technical_whitepaper,high,16,781.21
content_writing,expert,growth_hacking,medium,28,2013.06
cloud_computing,expert,saas_mvp,low,200,32820.8
digital_marketing,intermediate,saas_mvp,medium,133,5532.23
ui_ux_design,intermediate,landing_page,medium,19,643.17
cyber_security,expert,saas_mvp,low,252,45719.72
web_dev,intermediate,saas_mvp,medium,51,3021.63
app_dev,intermediate,ecommerce,low,155,8272.84
app_dev,beginner,landing_page,medium,30,624.9
cyber_security,expert,saas_mvp,medium,277,50754.79
cyber_security,beginner,script,medium,15,596.01
ui_ux_design,expert,api_endpoint,low,42,3456.32
blockchain,beginner,web_scraper,high,23,1075.9
blockchain,beginner,automation,high,25,935.25
content_writing,intermediate,full_website,high,70,3844.5
app_dev,intermediate,automation,low,35,2474.29
web_dev,expert,full_website,high,110,23152.81
python,expert,ai_model,medium,114,17725.41
python,expert,automation,medium,58,5656.43
python,expert,script,low,4,334.58
ui_ux_design,intermediate,full_website,high,150,10709.95
cloud_computing,expert,automation,medium,50,5569.36
web_dev,expert,api_endpoint,high,25,4287.0
web_dev,intermediate,ecommerce,low,158,5367.72
ui_ux_design,intermediate,saas_mvp,medium,220,14290.56
content_writing,beginner,growth_hacking,low,66,647.96
app_dev,intermediate,api_endpoint,high,23,1969.77
cloud_computing,intermediate,saas_mvp,high,71,8661.05
app_dev,intermediate,landing_page,medium,17,967.16
ui_ux_design,intermediate,saas_mvp,high,97,11500.75
cloud_computing,beginner,saas_mvp,high,71,2858.13
ui_ux_design,intermediate,ecommerce,medium,103,9262.87
app_dev,intermediate,full_website,medium,37,2391.0
ui_ux_design,intermediate,full_website,low,73,3031.6
data_science,beginner,script,low,23,493.62
graphic_design,beginner,ecommerce,medium,47,843.47
graphic_design,expert,saas_mvp,low,221,20796.73
cloud_computing,beginner,full_website,medium,42,1986.49
